,TypeName,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price
0,1,11,2,8.0,3,1,2,Average
1,1,2,2,8.0,3,1,2,Average
2,2,4,2,8.0,2,1,4,Low
3,1,13,3,16.0,2,2,2,High
4,1,11,2,8.0,2,1,2,High
5,2,1,11,4.0,2,2,1,Low
6,1,13,3,16.0,2,1,2,High
7,1,2,2,8.0,2,1,2,Average
8,1,4,3,16.0,2,3,1,Average
9,1,4,2,8.0,2,1,1,Low
10,2,1,2,4.0,2,1,4,Low
11,2,4,1,4.0,2,1,4,Low
12,1,13,3,16.0,2,2,2,High
13,2,4,1,4.0,2,2,1,Low
14,1,8,10,8.0,2,1,2,Average
15,1,11,2,8.0,2,1,2,High
16,2,4,3,8.0,2,2,1,Low
17,1,13,3,16.0,2,2,2,High
18,2,4,1,8.0,1,3,4,Low
19,1,4,2,8.0,3,1,1,Average
20,3,1,4,2.0,3,1,1,Low
21,4,4,2,8.0,1,3,1,Average
22,2,1,11,4.0,2,2,4,Low
23,5,4,2,8.0,2,1,1,Average
24,1,4,3,8.0,2,1,1,Low
25,2,1,1,4.0,1,1,1,Low
26,1,2,2,8.0,3,1,2,Average
27,2,4,2,8.0,2,2,1,Average
28,1,4,3,8.0,2,1,1,Average
29,2,4,2,8.0,1,3,1,Average
30,2,4,4,4.0,3,1,1,Low
31,2,1,11,2.0,3,2,1,Low
32,2,4,11,4.0,2,2,1,Low
33,1,14,3,16.0,2,1,1,High
34,1,2,2,8.0,2,1,2,Average
35,2,1,5,4.0,3,1,1,Low
36,2,1,1,4.0,1,1,3,Low
37,2,4,2,8.0,1,2,1,Average
38,2,1,2,4.0,1,1,1,Low
39,2,4,2,8.0,2,3,1,Average
40,2,4,1,4.0,1,1,3,Low
41,4,4,3,16.0,1,3,1,Average
42,2,1,2,8.0,1,3,3,Low
43,2,4,2,4.0,2,1,1,Low
44,5,4,2,12.0,1,3,1,Average
45,1,11,2,8.0,2,1,2,Average
46,2,1,1,4.0,3,1,4,Low
47,4,4,11,8.0,1,2,1,Average
48,2,4,2,4.0,2,2,1,Low
49,2,1,8,4.0,1,3,1,Low
50,5,5,4,4.0,3,1,4,Low
51,2,4,3,8.0,2,3,1,Average
52,2,4,11,4.0,2,2,1,Low
53,2,4,3,8.0,2,1,1,Average
54,2,1,1,4.0,1,1,1,Low
55,2,4,3,8.0,2,2,1,Low
56,2,4,1,4.0,3,1,1,Low
57,2,1,2,4.0,2,1,1,Low
58,4,4,3,16.0,1,3,1,High
59,2,4,1,4.0,2,1,3,Low
60,2,4,3,16.0,1,2,1,Average
61,1,4,2,8.0,2,1,1,Average
62,2,4,1,8.0,2,1,4,Low
63,2,4,2,8.0,2,1,1,Average
64,2,4,2,8.0,2,1,1,Low
65,1,4,3,16.0,2,3,1,High
66,2,1,1,4.0,2,2,1,Low
67,2,1,5,4.0,3,1,1,Low
68,2,4,2,4.0,1,1,1,Low
69,4,4,3,12.0,1,3,3,Average
70,1,7,2,4.0,3,1,1,Average
71,1,4,3,8.0,2,2,1,Average
72,2,4,3,8.0,2,2,1,Average
73,4,4,2,8.0,1,3,1,Average
74,2,1,1,8.0,1,1,1,Low
75,4,4,3,8.0,1,3,1,Average
76,2,4,2,8.0,1,1,4,Low
77,2,4,3,8.0,1,1,1,Average
78,2,4,1,4.0,1,3,1,Low
79,2,4,2,8.0,1,3,1,Average
80,1,4,2,8.0,2,1,1,Average
81,1,8,2,8.0,2,1,2,High
82,2,4,2,8.0,2,1,1,Average
83,2,4,11,4.0,3,2,1,Low
84,2,1,11,4.0,1,2,1,Low
85,4,4,3,16.0,1,3,1,Average
86,1,4,3,8.0,2,3,1,Low
87,2,4,2,8.0,2,1,1,Low
88,4,4,3,16.0,1,3,1,Average
89,1,4,3,8.0,2,1,1,High
90,4,4,11,8.0,1,2,1,Low
91,2,4,3,8.0,1,3,1,Low
92,2,4,3,16.0,2,1,1,Average
93,4,4,2,8.0,2,3,1,Average
94,1,4,3,8.0,2,1,1,Average
95,5,4,2,8.0,2,1,1,Average
96,2,4,3,8.0,1,2,3,Low
97,2,4,1,4.0,2,2,3,Low
98,2,4,1,6.0,2,3,1,Low
99,4,4,3,12.0,1,3,1,Average
100,2,4,3,8.0,2,2,1,Low
101,2,4,11,4.0,2,2,1,Low
102,2,4,2,8.0,1,2,3,Low
103,1,4,3,8.0,2,3,1,Average
104,1,7,2,8.0,2,1,1,Average
105,2,4,2,6.0,2,3,1,Low
106,2,4,1,4.0,1,1,1,Low
107,1,4,3,8.0,2,3,1,Average
108,4,4,3,16.0,1,3,1,Average
109,2,4,3,8.0,2,1,1,Average
110,1,4,3,16.0,1,3,1,Average
111,1,14,3,8.0,2,1,1,Average
112,5,4,2,8.0,2,1,1,Average
113,2,1,2,4.0,2,1,1,Low
114,1,4,2,8.0,2,1,1,High
115,5,4,2,8.0,2,1,1,Average
116,2,4,3,8.0,2,1,1,Average
117,2,4,3,8.0,1,3,1,Average
118,2,4,1,4.0,1,3,1,Low
119,2,4,3,8.0,2,3,1,Average
120,2,4,1,6.0,1,1,1,Low
121,4,4,3,16.0,1,3,1,High
122,2,4,2,8.0,2,3,4,Low
123,2,4,3,16.0,2,3,1,Average
124,2,1,11,4.0,2,2,1,Low
125,2,1,5,4.0,2,1,4,Low
126,2,4,2,8.0,1,1,1,Average
127,2,1,11,4.0,3,2,1,Low
128,2,4,3,16.0,1,2,1,Average
129,2,4,2,8.0,2,1,1,Average
130,2,1,2,8.0,1,2,1,Low
131,2,4,1,4.0,1,2,1,Low
132,1,4,3,8.0,2,1,1,Average
